name,id
"viewport=Mobile, triggerType=Icon, triggerAlignment=Top, Custom=False",31445:132776
"viewport=Mobile, triggerType=Icon, triggerAlignment=Middle, Custom=False",108013:138725
"viewport=Mobile, triggerType=Icon, triggerAlignment=Top, Custom=True",63650:221857
"viewport=Mobile, triggerType=Icon, triggerAlignment=Middle, Custom=True",108013:138734
"viewport=Mobile, triggerType=Link, triggerAlignment=Top, Custom=False",63650:220831
"viewport=Mobile, triggerType=Link, triggerAlignment=Middle, Custom=False",108013:138743
"viewport=Mobile, triggerType=Link, triggerAlignment=Top, Custom=True",63650:221866
"viewport=Mobile, triggerType=Link, triggerAlignment=Middle, Custom=True",108013:138752
"viewport=Desktop/Tablet, triggerType=Icon, triggerAlignment=Top, Custom=False",63650:220615
"viewport=Desktop/Tablet, triggerType=Icon, triggerAlignment=Middle, Custom=False",108013:138761
"viewport=Desktop/Tablet, triggerType=Icon, triggerAlignment=Top, Custom=True",63650:221875
"viewport=Desktop/Tablet, triggerType=Icon, triggerAlignment=Middle, Custom=True",108013:138770
"viewport=Desktop/Tablet, triggerType=Link, triggerAlignment=Top, Custom=False",63650:220840
"viewport=Desktop/Tablet, triggerType=Link, triggerAlignment=Middle, Custom=False",108013:138779
"viewport=Desktop/Tablet, triggerType=Link, triggerAlignment=Top, Custom=True",63650:221884
"viewport=Desktop/Tablet, triggerType=Link, triggerAlignment=Middle, Custom=True",108013:138788
"viewport=Desktop/Tablet, Opened=True, triggerType=Icon, triggerAlignment=Top, Custom=False",9520:76432
"viewport=Desktop/Tablet, Opened=True, triggerType=Icon, triggerAlignment=Top, Custom=True",64129:221330
"viewport=Desktop/Tablet, Opened=True, triggerType=Link, triggerAlignment=Top, Custom=True",64129:221415
"viewport=Desktop/Tablet, Opened=True, triggerType=Link, triggerAlignment=Top, Custom=False",9520:72193
"viewport=Mobile, Opened=True, triggerType=Link, triggerAlignment=Top, Custom=False",31445:128366
"viewport=Mobile, Opened=False, triggerType=Icon, triggerAlignment=Top, Custom=False",31445:128349
"viewport=Mobile, Opened=False, triggerType=Icon, triggerAlignment=Top, Custom=True",63636:222783
"viewport=Mobile, Opened=False, triggerType=Link, triggerAlignment=Top, Custom=False",63636:222580
"viewport=Mobile, Opened=False, triggerType=Link, triggerAlignment=Top, Custom=True",63636:222917
"viewport=Mobile, Opened=True, triggerType=Icon, triggerAlignment=Top, Custom=False",43037:227515
"viewport=Mobile, Opened=True, triggerType=Icon, triggerAlignment=Top, Custom=True",64129:221378
"viewport=Mobile, Opened=True, triggerType=Link, triggerAlignment=Top, Custom=True",64129:221422
